id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time
3602728037,始动,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2576730703.jpg,2019-12-18(韩国),https://movie.douban.com/subject/34809353/,6.6,"剧情,喜剧",4,,,2022-12-14 18:51:25
3602670483,阿弥陀堂讯息,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2393018482.jpg,2002-10-05,https://movie.douban.com/subject/1937998/,8.5,剧情,5,,科幻,2022-12-14 17:36:01
3602669924,未知电视剧,,https://img2.doubanio.com/f/frodo/568eb8fac54d39fe599b0de8c3f2aee1dbc43cf0/pics/subject/tv_large.jpg,,https://movie.douban.com/subject/30169926/,0,,5,,科幻,2022-12-14 17:35:22
3602667679,杨之后,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2867419800.jpg,2021-07-08(戛纳电影节),https://movie.douban.com/subject/30475837/,7.4,"剧情,科幻",4,,,2022-12-14 17:32:32
3602667380,瞬息全宇宙,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2869765076.jpg,2022-03-11(西南偏南电影节),https://movie.douban.com/subject/30314848/,7.6,"喜剧,奇幻,冒险",5,,科幻,2022-12-14 17:32:07
3602667031,异星灾变 第二季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2846094056.jpg,2022-02-03(美国),https://movie.douban.com/subject/35206532/,7.9,"剧情,科幻,奇幻",5,,,2022-12-14 17:31:39
3602666196,黑鸟,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2874949721.jpg,2022-07-08(美国),https://movie.douban.com/subject/35342065/,7.8,"剧情,犯罪",5,,,2022-12-14 17:30:35
3602665376,冰血暴 第四季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2616817950.jpg,2020-09-27(美国),https://movie.douban.com/subject/27623155/,7.7,"剧情,犯罪",5,,,2022-12-14 17:29:31
3602665253,冰血暴 第三季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2453162544.jpg,2017-04-19(美国),https://movie.douban.com/subject/26671380/,8.2,"剧情,犯罪,惊悚",5,,,2022-12-14 17:29:22
3602665128,冰血暴 第二季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2264960815.jpg,2015-10-12(美国),https://movie.douban.com/subject/25919897/,9.2,"剧情,犯罪",5,,,2022-12-14 17:29:13
3602664975,冰血暴 第一季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2173896435.jpg,2014-04-15(美国),https://movie.douban.com/subject/24297912/,9,"剧情,犯罪",5,,,2022-12-14 17:29:03
3602664554,苍穹浩瀚 第五季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2627248892.jpg,2020-12-16(美国),https://movie.douban.com/subject/34725334/,8.5,"剧情,动作,科幻",5,,,2022-12-14 17:28:30
3602664417,苍穹浩瀚 第四季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2570610523.jpg,2019-12-13(美国),https://movie.douban.com/subject/30234319/,8.3,"剧情,动作,科幻",5,,,2022-12-14 17:28:20
3602664294,苍穹浩瀚 第三季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2518519547.jpg,2018-04-11(美国),https://movie.douban.com/subject/27025029/,9.4,"科幻,悬疑",5,,,2022-12-14 17:28:10
3602664069,苍穹浩瀚 第二季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2417284689.jpg,2017-02-01(美国),https://movie.douban.com/subject/26675245/,9.2,"科幻,悬疑",5,,,2022-12-14 17:27:54
3602663862,苍穹浩瀚 第一季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2276966687.jpg,2015-12-14(美国),https://movie.douban.com/subject/25926851/,8.6,"科幻,悬疑",5,,,2022-12-14 17:27:40
3602663643,亿万 第六季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2794913356.jpg,2022-01-23(美国),https://movie.douban.com/subject/35213036/,7.6,剧情,5,,,2022-12-14 17:27:23
3602663518,亿万 第五季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2595085475.jpg,2020-05-03(美国),https://movie.douban.com/subject/33440173/,9.1,"剧情,犯罪",5,,,2022-12-14 17:27:14
3602663398,亿万 第四季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2548494594.jpg,2019-03-17(美国),https://movie.douban.com/subject/30206924/,9.3,剧情,5,,,2022-12-14 17:27:05
3602663211,亿万 第三季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2511621940.jpg,2018-03-25(美国),https://movie.douban.com/subject/26993083/,9.2,"剧情,犯罪,悬疑",5,,,2022-12-14 17:26:53
3602663058,亿万 第二季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2405823742.jpg,2017-02-20(美国),https://movie.douban.com/subject/26717030/,9.3,剧情,5,,,2022-12-14 17:26:43
3602662721,黑钱胜地 第四季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2829953542.jpg,2022-01-21(美国),https://movie.douban.com/subject/35125277/,8.7,"剧情,犯罪,惊悚",5,,,2022-12-14 17:26:19
3602662595,黑钱胜地 第三季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2589445266.jpg,2020-03-27(美国),https://movie.douban.com/subject/30347315/,8.5,"剧情,犯罪,惊悚",5,,,2022-12-14 17:26:09
3602662477,黑钱胜地 第二季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2532573565.jpg,2018-08-31(美国),https://movie.douban.com/subject/27113985/,8.7,"剧情,犯罪,惊悚",5,,,2022-12-14 17:26:00
3602662349,黑钱胜地 第一季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2492954903.jpg,2017-07-21(美国),https://movie.douban.com/subject/26735549/,8.3,"剧情,犯罪,惊悚",5,,,2022-12-14 17:25:50
3602660336,极品飞车,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2172119522.jpg,2014-03-14(中国大陆),https://movie.douban.com/subject/20257326/,7.3,"剧情,动作,犯罪",5,,,2022-12-14 17:23:14
3602660036,飞驰人生,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2542973862.jpg,2019-02-05(中国大陆),https://movie.douban.com/subject/30163509/,6.9,喜剧,4,,,2022-12-14 17:22:52
3602659934,头号玩家,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2516578307.jpg,2018-03-30(中国大陆),https://movie.douban.com/subject/4920389/,8.7,"动作,科幻,冒险",5,,,2022-12-14 17:22:43
3602659841,湮灭,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2516914607.jpg,2018-04-13(中国大陆),https://movie.douban.com/subject/26384741/,7.2,"剧情,科幻,惊悚",5,,,2022-12-14 17:22:35
3602659651,一出好戏,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2529571873.jpg,2018-08-10(中国大陆),https://movie.douban.com/subject/26985127/,7.1,"剧情,喜剧",3,,,2022-12-14 17:22:21
3602659480,红海行动,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2514119443.jpg,2018-02-16(中国大陆),https://movie.douban.com/subject/26861685/,8.2,"动作,战争",4,,,2022-12-14 17:22:07
3602659311,银翼杀手2049,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2501864539.jpg,2017-10-27(中国大陆),https://movie.douban.com/subject/10512661/,8.3,"剧情,动作,科幻",5,,奇幻,2022-12-14 17:21:53
3602659184,降临,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2411622421.jpg,2017-01-20(中国大陆),https://movie.douban.com/subject/21324900/,7.8,"剧情,科幻",5,,科幻,2022-12-14 17:21:43
3602659062,乘风破浪,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2408407697.jpg,2017-01-28(中国大陆),https://movie.douban.com/subject/26862259/,6.8,"剧情,喜剧",4,,,2022-12-14 17:21:33
3602655964,月球陨落,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2869422067.jpg,2022-03-25(中国大陆),https://movie.douban.com/subject/26825482/,5.4,"科幻,灾难",5,,科幻,2022-12-14 17:17:40
3602655772,信条,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2612061299.jpg,2020-09-04(中国大陆),https://movie.douban.com/subject/30444960/,7.6,"剧情,动作,科幻",5,,科幻,2022-12-14 17:17:27
3602654128,西部世界 第一季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2403347953.jpg,2016-10-02(美国),https://movie.douban.com/subject/2338055/,8.9,"科幻,西部",5,,,2022-12-14 17:15:25
3602653976,西部世界 第二季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2517077652.jpg,2018-04-22(美国),https://movie.douban.com/subject/26887174/,8.8,"科幻,西部",5,,,2022-12-14 17:15:15
3602653821,西部世界 第三季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2585693570.jpg,2020-03-15(美国),https://movie.douban.com/subject/30206389/,8.2,"剧情,科幻,西部",5,,,2022-12-14 17:15:03
3602653619,西部世界 第四季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2874119367.jpg,2022-06-26(美国),https://movie.douban.com/subject/35042913/,7.9,"剧情,科幻,悬疑",5,,科幻,2022-12-14 17:14:49
3602653332,壮志凌云2：独行侠,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2870610648.jpg,2022-05-18(戛纳电影节),https://movie.douban.com/subject/6893932/,8,动作,5,,"感人,感动",2022-12-14 17:14:29
3602276441,子弹列车,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2873950053.jpg,2022-08-03(洛迦诺电影节),https://movie.douban.com/subject/35118954/,7.9,"喜剧,动作,惊悚",4,还行吧,,2022-12-14 08:24:02
3591898658,人生切割术 第一季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2870952920.jpg,2022-02-18(美国),https://movie.douban.com/subject/34885342/,9.1,"剧情,科幻,悬疑",5,,,2022-12-05 05:40:04
3591898546,1899,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2882110166.jpg,2022-11-17(德国),https://movie.douban.com/subject/30378843/,6.8,"剧情,历史,悬疑",5,,科幻,2022-12-05 05:39:24
3591898516,边缘世界 第一季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2879947754.jpg,2022-10-21(美国),https://movie.douban.com/subject/30198955/,7.8,"剧情,科幻,惊悚",5,,科幻,2022-12-05 05:39:11
3251160640,苍穹浩瀚 第六季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2765867428.jpg,2021-12-10(美国),https://movie.douban.com/subject/35265497/,8.7,"剧情,科幻,悬疑",5,,,2022-02-24 00:28:07
3237465633,兄弟连,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1714777727.jpg,2001-09-09(美国),https://movie.douban.com/subject/1307847/,9.6,"剧情,动作,历史",5,,,2022-02-13 20:28:22
3236491073,扬名立万,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2881817779.jpg,2021-11-11(中国大陆),https://movie.douban.com/subject/35422807/,7.4,"剧情,喜剧,悬疑",4,,,2022-02-13 02:59:10
3164750891,杰伊·比姆,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2734251414.jpg,2021-11-02(印度),https://movie.douban.com/subject/35652715/,8.7,"剧情,犯罪",5,,,2021-12-27 04:02:50
3164116174,不要抬头,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2730833093.jpg,2021-12-10(美国),https://movie.douban.com/subject/34884712/,7.6,"喜剧,科幻",5,,,2021-12-26 20:07:47
3158580421,手卷烟,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2641615865.jpg,2021-06-17(中国香港),https://movie.douban.com/subject/30159568/,7.1,"剧情,犯罪",4,,,2021-12-23 02:23:10
3158576749,黑客帝国：矩阵重启,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2844387600.jpg,2022-01-14(中国大陆),https://movie.douban.com/subject/34801038/,5.7,"动作,科幻",4,,,2021-12-23 02:16:20
3115481877,倒数时刻,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2690712224.jpg,2021-11-10(美国电影学会电影节),https://movie.douban.com/subject/30279170/,8.2,"剧情,传记,歌舞",5,,,2021-11-19 23:06:09
3113325927,利刃出鞘,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2574172427.jpg,2019-11-29(中国大陆),https://movie.douban.com/subject/30318116/,8.1,"剧情,喜剧,犯罪",5,,,2021-11-18 03:58:05
3110850807,英雄联盟：双城之战 第一季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2714077426.jpg,2021-11-07(中国大陆),https://movie.douban.com/subject/34867871/,9,"动作,科幻,动画",5,,,2021-11-16 02:22:20
3110850758,神偷军团,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2704531912.jpg,2021-10-29(美国网络),https://movie.douban.com/subject/35245762/,6.2,"动作,犯罪",3,,,2021-11-16 02:22:13
3110850709,尚气与十环传奇,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2674321872.jpg,2021-09-03(美国),https://movie.douban.com/subject/30394797/,6,"动作,科幻,奇幻",4,,,2021-11-16 02:22:07
3110850682,沙丘,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2687443734.jpg,2021-10-22(美国/中国大陆),https://movie.douban.com/subject/3001114/,7.7,"剧情,科幻,冒险",5,,,2021-11-16 02:22:02
3110850631,芬奇,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2721066869.jpg,2021-11-05(美国),https://movie.douban.com/subject/26897885/,8.4,"剧情,科幻",5,,,2021-11-16 02:21:54
3110850595,红色通缉令,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2702918768.jpg,2021-11-12(美国),https://movie.douban.com/subject/30143331/,6.3,"喜剧,动作,犯罪",4,,,2021-11-16 02:21:49
3110850270,007：无暇赴死,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2707553644.jpg,2021-10-29(中国大陆),https://movie.douban.com/subject/20276229/,6.6,"动作,惊悚,冒险",4,,,2021-11-16 02:20:59
3051012734,鱿鱼游戏 第一季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2677934359.jpg,2021-09-17(韩国),https://movie.douban.com/subject/34812928/,7.7,"悬疑,惊悚",5,,,2021-09-26 23:54:53
3049937413,唐璜,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2163472540.jpg,2013-01-18(圣丹斯电影节),https://movie.douban.com/subject/10482125/,6.3,"剧情,喜剧,爱情",5,,,2021-09-26 00:38:26
3049936247,超体,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2201909284.jpg,2014-10-24(中国大陆),https://movie.douban.com/subject/24404677/,7.4,"动作,科幻",5,,,2021-09-26 00:37:21
3049936066,攻壳机动队,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2453176400.jpg,2017-04-07(中国大陆),https://movie.douban.com/subject/25818101/,6.4,"动作,科幻,犯罪",5,,,2021-09-26 00:37:10
3049934873,羞耻,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1499701469.jpg,2011-09-04(威尼斯电影节),https://movie.douban.com/subject/5360890/,7.3,"剧情,情色",4,,,2021-09-26 00:36:08
3049933105,良医 第五季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2694640891.jpg,2021-09-27(美国),https://movie.douban.com/subject/35451920/,8.6,剧情,5,,,2021-09-26 00:34:37
3049932989,未知电视剧,,https://img2.doubanio.com/f/frodo/568eb8fac54d39fe599b0de8c3f2aee1dbc43cf0/pics/subject/tv_large.jpg,,https://movie.douban.com/subject/34965846/,0,,5,,,2021-09-26 00:34:31
3049932872,良医 第三季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2688312829.jpg,2019-09-23(美国),https://movie.douban.com/subject/30454230/,8.2,剧情,5,,,2021-09-26 00:34:24
3049932724,良医 第二季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2534004692.jpg,2018-09-24(美国),https://movie.douban.com/subject/30163504/,9.1,剧情,5,,,2021-09-26 00:34:16
3049932034,越狱 第五季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2444271068.jpg,2017-04-04(美国),https://movie.douban.com/subject/26416957/,8.2,"剧情,动作,犯罪",5,,,2021-09-26 00:33:39
3049931870,越狱  第四季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2201761861.jpg,2008-09-01(美国),https://movie.douban.com/subject/3197006/,8,"动作,犯罪,剧情",5,,,2021-09-26 00:33:30
3049931675,越狱  第三季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2201756015.jpg,2007-09-17(美国),https://movie.douban.com/subject/2253613/,7.9,"剧情,动作,惊悚",5,,,2021-09-26 00:33:20
3049931416,越狱  第二季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2201755957.jpg,2006-08-21(美国),https://movie.douban.com/subject/1876781/,8.7,"冒险,犯罪,剧情",5,,,2021-09-26 00:33:06
3049930782,权力的游戏 第八季,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2553679104.jpg,2019-04-14(美国),https://movie.douban.com/subject/26584183/,6.1,"剧情,奇幻,冒险",4,,,2021-09-26 00:32:33
3049930619,权力的游戏 第七季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2462245619.jpg,2017-07-16(美国),https://movie.douban.com/subject/26235354/,9.2,"剧情,奇幻,冒险",5,,,2021-09-26 00:32:23
3049930398,权力的游戏 第六季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2321971908.jpg,2016-04-24(美国),https://movie.douban.com/subject/25862357/,9.5,"剧情,战争,奇幻",5,,,2021-09-26 00:32:12
3049930233,权力的游戏 第五季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2230256732.jpg,2015-04-12(美国),https://movie.douban.com/subject/25826612/,9.4,"剧情,奇幻,冒险",5,,,2021-09-26 00:32:03
3049930055,权力的游戏 第四季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2172313849.jpg,2014-04-06(美国),https://movie.douban.com/subject/23232876/,9.6,"剧情,奇幻,冒险",5,,,2021-09-26 00:31:53
3049929843,权力的游戏 第三季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1884199062.jpg,2013-03-31(美国),https://movie.douban.com/subject/10590706/,9.5,"剧情,奇幻,冒险",5,,,2021-09-26 00:31:44
3049929679,权力的游戏  第二季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1441478479.jpg,2012-04-01(美国),https://movie.douban.com/subject/6558062/,9.5,"剧情,奇幻,冒险",5,,,2021-09-26 00:31:34
3049929371,绝命毒师  第五季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1579021082.jpg,2012-07-15(美国),https://movie.douban.com/subject/6952149/,9.7,"剧情,犯罪",5,,,2021-09-26 00:31:17
3049929180,绝命毒师  第四季,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2016506391.jpg,2011-07-17(美国),https://movie.douban.com/subject/4927382/,9.5,"犯罪,剧情",5,,,2021-09-26 00:31:08
